Name,Adress,Zip,Grade,Score,Latitude,Longitude,Coordinates
BAY SUSHI,"1647 HOLLENBECK AV ,SUNNYVALE, CA 94087",94087,Pass,82,37.341109,-122.0415,"(37.341109,-122.0415)"
LUCKY #723 - DELI/BAKERY,"2175 GRANT RD ,LOS ALTOS, CA 94022",94022,Pass,88,37.34221,-122.071493,"(37.34221,-122.071493)"
MONTCLAIRE ELEMENTARY SCHOOL,"1160 ST JOSEPH AV ,LOS ALTOS, CA 94022",94022,Pass,100,37.342357,-122.082325,"(37.342357,-122.082325)"
LAURELWOOD SCHOOL,"955 TEAL DR,SANTA CLARA, CA 95051",95051,Pass,100,37.343504,-122.002404,"(37.343504,-122.002404)"
STRATFORD SCHOOL,"1500 PARTRIDGE AV,SUNNYVALE, CA 94087",94087,Pass,100,37.34409,-122.00667,"(37.34409,-122.00667)"
STOCKLMEIR CENTRAL KITCHEN,"592 DUNHOLME WY,SUNNYVALE, CA 94087",94087,Pass,100,37.344666,-122.025703,"(37.344666,-122.025703)"
GRANT PARK COMMUNITY CENTER,"1557 HOLT AV,LOS ALTOS, CA 94024",94024,Pass,92,37.344962,-122.069744,"(37.344962,-122.069744)"
7-ELEVEN FOOD STORE #14241,"3565 BENTON ST,SANTA CLARA, CA 95051",95051,Pass,100,37.345533,-121.994523,"(37.345533,-121.994523)"
BOB'S DISCOUNT LIQUOR #2,"3585 BENTON ST,SANTA CLARA, CA 95051",95051,Pass,89,37.345774,-121.994503,"(37.345774,-121.994503)"
AL'S ARCO,"3595 BENTON ST ,SANTA CLARA, CA 95051",95051,Pass,100,37.345839,-121.995244,"(37.345839,-121.995244)"
ST. SIMON PARISH & SCHOOL,"1860 GRANT RD,LOS ALTOS, CA 94024",94024,Pass,100,37.347762,-122.079186,"(37.347762,-122.079186)"
CHESTER NIMITZ SCHOOL,"545 E CHEYENNE DR ,SUNNYVALE, CA 94087",94087,Pass,98,37.348139,-122.036737,"(37.348139,-122.036737)"
PETERSON MIDDLE SCHOOL,"1380 W ROSALIA AV ,SUNNYVALE, CA 94087",94087,Pass,92,37.349215,-122.009417,"(37.349215,-122.009417)"
CHURCH OF THE RESURRECTION SCHOOL,"1395 HOLLENBECK AV,SUNNYVALE, CA 94087",94087,Pass,92,37.34971,-122.04196,"(37.34971,-122.04196)"
SOUTH PENINSULA HEBREW DAY SCHOOL,"1030 ASTORIA DR,SUNNYVALE, CA 94087",94087,Pass,87,37.350037,-122.057828,"(37.350037,-122.057828)"
SALTALK,"1334 S MARY AV,SUNNYVALE, CA 94087",94087,Pass,80,37.35064,-122.04961,"(37.35064,-122.04961)"
LHCF - IDYLWOOD CARE CENTER,"1002 W FREMONT AV ,SUNNYVALE, CA 94087",94087,Pass,98,37.35078,-122.05579,"(37.35078,-122.05579)"
BEIJING RESTAURANT,"1460 HALFORD AV,SANTA CLARA, CA 95051",95051,Pass,100,37.350867,-121.999446,"(37.350867,-121.999446)"
WALGREENS #3380,"1306 S MARY AV ,SUNNYVALE, CA 94087",94087,Pass,100,37.35093,-122.05015,"(37.35093,-122.05015)"
SARAVANA BHAVAN,"1305 S MARY AV,SUNNYVALE, CA 94087",94087,Pass,82,37.35096,-122.0511,"(37.35096,-122.0511)"
LOS ALTOS GOLF & COUNTRY CLUB- POOL AREA SNACK,"1560 COUNTRY CLUB DR ,LOS ALTOS, CA 94022",94022,Pass,89,37.350991,-122.09172,"(37.350991,-122.09172)"
WENDY'S #530,"1313 S WOLFE RD ,SUNNYVALE, CA 94086",94086,Pass,79,37.351021,-122.014626,"(37.351021,-122.014626)"
VALLEY LIQUOR & WINE #10,"1480 HALFORD AV ,SANTA CLARA, CA 95051",95051,Pass,92,37.351124,-121.999458,"(37.351124,-121.999458)"
MOOBONGRI,"1484 HALFORD AV ,SANTA CLARA, CA 95051",95051,Pass,85,37.351151,-121.999459,"(37.351151,-121.999459)"
FALAFEL STOP,"1325 SUNNYVALE SARATOGA RD ,SUNNYVALE, CA 94087",94087,Pass,78,37.35131,-122.03282,"(37.35131,-122.03282)"
LONGHORN CHARCOAL PIT,"102 E FREMONT AV 5,SUNNYVALE, CA 94087",94087,Pass,39,37.35133,-122.03159,"(37.35133,-122.03159)"
BAKER'S VILLAGE,"1488 HALFORD AV,SANTA CLARA, CA 95051",95051,Pass,98,37.351378,-121.999469,"(37.351378,-121.999469)"
WILD PALMS HOTEL-RESTAURANT,"910 E FREMONT AV ,SUNNYVALE, CA 94087",94087,Pass,94,37.35139,-122.01357,"(37.35139,-122.01357)"
JAKES OF SUNNYVALE,"174 E FREMONT AV,SUNNYVALE, CA 94087",94087,Pass,90,37.35143,-122.0297,"(37.35143,-122.0297)"
24 HOUR FITNESS #506,"150 E FREMONT AV,SUNNYVALE, CA 94087",94087,Pass,95,37.35143,-122.03071,"(37.35143,-122.03071)"
COUNTRY GOURMET,"1314 S MARY AV ,SUNNYVALE, CA 94087",94087,Pass,92,37.35144,-122.04945,"(37.35144,-122.04945)"
HOTEL E REAL,"3580 EL CAMINO REAL ,SANTA CLARA, CA 95051",95051,Pass,100,37.351486,-121.995498,"(37.351486,-121.995498)"
THE HALFORD,"1494 HALFORD AV,SANTA CLARA, CA 95051",95051,Pass,100,37.351604,-121.99948,"(37.351604,-121.99948)"
KOMALA VILAS,"1020 E EL CAMINO REAL,SUNNYVALE, CA 94087",94087,Pass,79,37.35162,-122.00588,"(37.35162,-122.00588)"
PHO HOA,"3484 EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,90,37.351629,-121.99274,"(37.351629,-121.99274)"
ROLL HOUSE,"3486 EL CAMINO REAL ,SANTA CLARA, CA 95051",95051,Pass,91,37.351629,-121.992823,"(37.351629,-121.992823)"
HONEY BERRY,"3488 EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,94,37.351629,-121.992906,"(37.351629,-121.992906)"
SUBWAY SANDWICHES #28153,"1044 E EL CAMINO REAL ,SUNNYVALE, CA 94087",94087,Pass,89,37.35163,-122.00432,"(37.35163,-122.00432)"
HOUSE OF PHO,"1066 E EL CAMINO REAL ,SUNNYVALE, CA 94087",94087,Pass,86,37.35166,-122.00319,"(37.35166,-122.00319)"
EN JAPANESE TAPAS,"3450 EL CAMINO REAL 101,SANTA CLARA, CA 95051",95051,Pass,94,37.351666,-121.991049,"(37.351666,-121.991049)"
HK FOOD COURT,"1092 E EL CAMINO REAL # 1,SUNNYVALE, CA 94087",94087,Pass,70,37.35167,-122.00177,"(37.35167,-122.00177)"
JJ BEE,"3438 EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,93,37.351672,-121.990186,"(37.351672,-121.990186)"
SUNNYVALE SARATOGA SHELL,"1300 SUNNYVALE SARATOGA RD,SUNNYVALE, CA 94087",94087,Pass,94,37.35173,-122.03184,"(37.35173,-122.03184)"
SUNNYVALE GAS STATION,"898 E FREMONT AV ,SUNNYVALE, CA 94086",94086,Pass,97,37.35177,-122.01467,"(37.35177,-122.01467)"
7-ELEVEN FOOD STORE #26763C/2230,"834 E FREMONT AV,SUNNYVALE, CA 94087",94087,Pass,98,37.35179,-122.01633,"(37.35179,-122.01633)"
QUINCY LIQUOR & GROCERY,"982 E EL CAMINO REAL,SUNNYVALE, CA 94087",94087,Pass,90,37.3518,-122.00916,"(37.3518,-122.00916)"
CHAAT BHAVAN,"976 E EL CAMINO REAL,SUNNYVALE, CA 94087",94087,Pass,88,37.3518,-122.0094,"(37.3518,-122.0094)"
THE PATIO,"948 E EL CAMINO REAL ,SUNNYVALE, CA 94087",94087,Pass,82,37.35181,-122.01187,"(37.35181,-122.01187)"
RADHE CHAAT,"934 E EL CAMINO REAL ,SUNNYVALE, CA 94086",94086,Pass,80,37.35181,-122.01209,"(37.35181,-122.01209)"
MY BANGLA BAZAR,"924 E FREMONT AV ,SUNNYVALE, CA 94087",94087,Pass,93,37.35181,-122.01292,"(37.35181,-122.01292)"
HERITAGE INDIAN MARKET,"826 E FREMONT AV STE A,SUNNYVALE, CA 94087",94087,Pass,96,37.35181,-122.01722,"(37.35181,-122.01722)"
THALI RESTAURANT,"954 E EL CAMINO REAL,SUNNYVALE, CA 94087",94087,Pass,75,37.35184,-122.01128,"(37.35184,-122.01128)"
FREMONT GAS & MINI MART,"860 W FREMONT AV,SUNNYVALE, CA 94087",94087,Pass,87,37.35185,-122.04884,"(37.35185,-122.04884)"
BURGER KING #1673,"3750 EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,95,37.351869,-121.999728,"(37.351869,-121.999728)"
Yakiniku Chikara,"3590 EL CAMINO REAL ,SANTA CLARA, CA 95051",95051,Pass,92,37.3519,-121.995365,"(37.3519,-121.995365)"
EL CAMINO MONGOLIAN BBQ,"3380 EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,87,37.35196,-121.989097,"(37.35196,-121.989097)"
WALGREENS #2740,"3460 EL CAMINO REAL ,SANTA CLARA, CA 95051",95051,Pass,100,37.351976,-121.991494,"(37.351976,-121.991494)"
EL CAMINO REAL CHEVRON,"3740 EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,94,37.352083,-121.998896,"(37.352083,-121.998896)"
HIDDEN VILLA HOSTEL,"26870 MOODY RD ,LOS ALTOS HILLS, CA 94022",94022,Pass,100,37.352318,-122.151479,"(37.352318,-122.151479)"
ADEL'S LIQUORS,"3737 E EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,92,37.352319,-121.997294,"(37.352319,-121.997294)"
BIG LOTS,"3735 E EL CAMINO REAL ,SANTA CLARA, CA 95051",95051,Pass,100,37.35232,-121.99746,"(37.35232,-121.99746)"
SHAWARMA FALAFEL SHAQ,"3475 E EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,87,37.352419,-121.988429,"(37.352419,-121.988429)"
PESARATTU / MADURAI SRI MUNIYANDI VILAS,"3379 E EL CAMINO REAL,SANTA CLARA, CA 95051",95051,Pass,87,37.35243,-121.987448,"(37.35243,-121.987448)"
WESTMOOR CHEVRON,"925 W FREMONT AV,SUNNYVALE, CA 94087",94087,Pass,100,37.35245,-122.0516,"(37.35245,-122.0516)"
SUNNYVALE MOBIL,"1296 SUNNYVALE SARATOGA RD,SUNNYVALE, CA 94087",94087,Pass,98,37.3525,-122.03186,"(37.3525,-122.03186)"
